pl_name,ra,dec,sy_dist
HAT-P-2 c,245.1514324,41.0479601,127.774
TOI-4137 b,77.612879,70.391079,334.993
TOI-1710 b,94.2838373,76.21102,81.2271
NGTS-25 b,307.4182976,-39.0323568,521.233
NGTS-27 b,206.0265266,-32.5229747,942.122
TOI-3912 b,215.8014956,24.0765639,465.992
TOI-2842 b,108.0442066,-10.63934,460.995
TOI-3984 A b,226.3371468,36.7869747,108.883
TOI-2145 b,263.7580753,40.6950428,224.731
WASP-4 b,353.5629149,-42.0617794,267.206
TOI-2096 c,151.6186989,74.8272107,48.4809
WASP-4 b,353.5629149,-42.0617794,267.206
WASP-4 b,353.5629149,-42.0617794,267.206
WASP-4 b,353.5629149,-42.0617794,267.206
WASP-4 b,353.5629149,-42.0617794,267.206
WASP-4 b,353.5629149,-42.0617794,267.206
WASP-4 b,353.5629149,-42.0617794,267.206
WASP-4 b,353.5629149,-42.0617794,267.206
WASP-4 b,353.5629149,-42.0617794,267.206
WASP-4 b,353.5629149,-42.0617794,267.206
TOI-1693 b,90.3083455,34.7730904,30.7947
HD 149026 b,247.6229827,38.3475349,75.8643
TOI-3819 b,121.8632568,29.3886446,558.141
TOI-1736 b,43.4344615,69.101345,88.9482
KELT-12 b,267.6404906,36.5701761,368.03
TOI-3331 A b,271.3241672,-34.107171,217.193
TrES-5 b,305.2219454,59.4489033,360.313
TOI-4201 b,90.4747237,-13.461371,189.011
TrES-5 b,305.2219454,59.4489033,360.313
TOI-3321 b,265.7603351,-65.0082516,285.895
NGTS-1 b,82.7142134,-36.6309812,218.121
HAT-P-2 b,245.1514324,41.0479601,127.774
TOI-1288 c,313.1670294,65.6087833,114.865
NGTS-24 b,168.5638892,-37.9101328,683.062
NGTS-9 b,141.9206435,-19.3476477,609.128
HD 17156 b,42.4366123,71.7530882,78.0863
HD 149026 b,247.6229827,38.3475349,75.8643
TOI-3894 b,201.3748265,52.7681036,417.365
HD 17156 b,42.4366123,71.7530882,78.0863
HD 149026 b,247.6229827,38.3475349,75.8643
HD 213885 b,338.9837166,-59.864829,48.0883
NGTS-4 b,89.5988945,-30.8117992,280.555
TOI-3693 b,15.6543938,51.3038918,176.436
TOI-1836 c,245.9079242,54.6900774,191.649
TOI-3261 b,47.7285242,-73.531972,300.141
TOI-1736 c,43.4344615,69.101345,88.9482
NGTS-15 b,73.3553101,-32.8003484,786.485
TOI-3919 b,208.9447534,40.3918061,604.591
TOI-3976 A b,224.3560083,44.2743223,516.087
NGTS-4 b,89.5988945,-30.8117992,280.555
NGTS-26 b,217.6832961,-31.7324526,1093.69
TOI-3894 b,201.3748265,52.7681036,417.365
HD 104067 b,179.7923543,-20.3556058,20.3632
TOI-672 b,167.9908627,-39.3281151,66.9071
TOI-1180 b,214.5557741,82.1937642,72.0238
TOI-5293 A b,355.828682,-2.0450945,162.229
HD 104067 c,179.7923543,-20.3556058,20.3632
TOI-3023 b,165.3158231,-72.3567044,389.916
TOI-4201 b,90.4747237,-13.461371,189.011
TOI-5238 b,223.3588909,68.859472,290.646
TOI-2803 A b,93.1147397,-23.4924956,494.818
TOI-1288 b,313.1670294,65.6087833,114.865
TOI-5232 b,294.3374248,35.2764934,609.388
HD 104067 b,179.7923543,-20.3556058,20.3632
TOI-1180 b,214.5557741,82.1937642,72.0238
TOI-3894 b,201.3748265,52.7681036,417.365
TOI-3082 b,195.9080719,-19.2189845,113.048
TOI-1710 b,94.2838373,76.21102,81.2271
HD 149026 b,247.6229827,38.3475349,75.8643
TOI-3785 b,130.9002258,63.0780768,79.7634
TOI-4860 b,183.563961,-13.1748411,80.1423
NGTS-3 A b,94.4447595,-35.706364,743.972
HAT-P-2 b,245.1514324,41.0479601,127.774
XO-6 b,94.7929552,73.8275672,235.479
TOI-5344 b,63.2662165,20.9151568,138.367
TOI-2977 b,143.9265177,-60.3574758,
TOI-1135 b,193.3963704,85.1294952,114.048
KELT-12 b,267.6404906,36.5701761,368.03
TOI-5344 b,63.2662165,20.9151568,138.367
TOI-4145 A b,39.4297435,80.2673838,205.387
HD 17156 b,42.4366123,71.7530882,78.0863
HD 104067 b,179.7923543,-20.3556058,20.3632
HD 104067 b,179.7923543,-20.3556058,20.3632
HD 207897 b,325.2016451,84.3337613,28.2938
TOI-3331 A b,271.3241672,-34.107171,217.193
NGTS-27 b,206.0265266,-32.5229747,942.122
KELT-12 b,267.6404906,36.5701761,368.03
HD 17156 b,42.4366123,71.7530882,78.0863
NGTS-14 A b,328.5174799,-38.3774193,322.148
TOI-1135 b,193.3963704,85.1294952,114.048
TOI-2818 b,119.0598183,-35.1167104,312.674
TrES-5 b,305.2219454,59.4489033,360.313
NGTS-30 b,173.714867,-24.6054801,238.377
TOI-2141 b,258.7623456,18.3403449,77.682
HD 207897 b,325.2016451,84.3337613,28.2938
